612960004,,8
413450780,油轮,110
160013653,,8
412440069,捕捞,40
413591137,执法艇,16
412457720,客船,35
658965352,,98
412000066,捕捞,54
477550900,货船,295
412450386,捕捞,39
98315229,,0
900002418,地效应船,28
900088603,捕捞,25
412410809,,0
800000126,捕捞,15
412430022,捕捞,31
412451356,,33
412433653,捕捞,36
412433670,捕捞,35
412356950,,0
412450735,,22
412441556,捕捞,19
412433195,捕捞,40
800029283,,0
412002236,,0
98318656,,0
200022575,,12
413888816,,0
412417603,,0
412437371,,30
412433478,,0
98316360,,4
412435966,捕捞,31
440278000,货船,172
412330024,,30
612960003,,8
413686784,,120
413432546,货船,56
413270569,货船,0
333300836,,0
412430729,,0
902533558,,0
412447431,,27
200011672,,0
412451813,,29
900360061,捕捞,40
412433672,捕捞,35
800033407,,0
412443846,地效应船,21
636017867,货船,398
413000018,货船,82
413035480,,0
413521342,,0
412417894,,38
412417604,,0
318,,25
477746900,货船,190
333300155,,0
412411809,捕捞,52
412466934,,21
635980003,,8
200020523,捕捞,0
413690240,捕捞,36
412449986,,25
412423925,,23
412508340,捕捞,40
612960002,,8
413415814,货船,53
412362752,货船,0
121001428,捕捞,0
412431641,,0
412406685,,0
412449802,捕捞,0
412441292,,36
413524772,,0
61120005,,0
2651558,,0
412456859,,25
412002238,,0
412703090,货船,121
477503000,货船,151
125804810,,8
412433475,,0
926073928,,0
413324010,,43
412502640,货船,99
333300834,,0
98318658,,0
412433634,捕捞,37
412435965,捕捞,31
422026900,货船,206
200001372,,0
413144000,货船,263
412417857,,40
412450714,,23
414742000,货船,225
412443587,,32
412417601,,0
100900913,,8
416059604,捕捞,30
200005219,捕捞,25
200018508,捕捞,17
412667720,,0
412430023,捕捞,31
412423857,,0
902916038,捕捞,60
412419727,,27
355464000,货船,159
412460851,,16
413450540,货船,34
413706662,,0
9103099,,0
412201377,,90
412272050,货船,173
412437527,,0
413324794,,0
98328955,,0
412343906,,0
412444599,,16
413369069,,8
800036158,,0
200014805,,0
258966369,,0
81060040,,0
900004694,,0
98322396,,0
477738900,货船,261
416442080,,0
412444248,,30
412449834,捕捞,36
412451539,,39
145632701,,0
412444707,捕捞,18
200001375,,0
333300153,,0
412863096,捕捞,50
413804089,货船,106
413524774,,0
800000801,,23
413061715,,50
412432078,捕捞,35
412444927,,30
412449945,,27
412443278,捕捞,36
413503850,,53
538007280,货船,229
800037562,捕捞,24
412596166,货船,68
200014804,,0
412444247,,30
412441943,,0
413360679,货船,56
412433473,,0
412416009,,0
412596091,,0
68600263,,0
412443847,,23
875456665,,30
412449121,捕捞,0
108667960,,0
413201510,货船,97
200010077,,0
412889778,捕捞,55
413435480,油轮,97
412412546,,16
902588618,,40
412416094,,33
412008116,,0
100895163,,0
412450646,,0
413363960,,67
98318659,,0
412596167,货船,68
